d,lthSopr
2014-04-01,3.616
2014-04-02,3.743
2014-04-03,15.588
2014-04-04,5.105
2014-04-05,6.214
2014-04-06,9.943
2014-04-07,6.734
2014-04-08,3.895
2014-04-09,4.706
2014-04-10,5.588
2014-04-11,5.445
2014-04-12,6.226
2014-04-13,3.851
2014-04-14,5.033
2014-04-15,4.31
2014-04-16,8.546
2014-04-17,5.232
2014-04-18,4.306
2014-04-19,3.922
2014-04-20,6.947
2014-04-21,3.866
2014-04-22,3.366
2014-04-23,3.556
2014-04-24,3.951
2014-04-25,3.604
2014-04-26,3.876
2014-04-27,3.295
2014-04-28,4.165
2014-04-29,3.03
2014-04-30,2.12
2014-05-01,3.001
2014-05-02,1.823
2014-05-03,1.619
2014-05-04,2.119
2014-05-05,2.157
2014-05-06,2.137
2014-05-07,3.103
2014-05-08,1.938
2014-05-09,1.64
2014-05-10,3.002
2014-05-11,1.857
2014-05-12,1.749
2014-05-13,0.969
2014-05-14,1.052
2014-05-15,1.792
2014-05-16,0.887
2014-05-17,1.312
2014-05-18,1.889
2014-05-19,1.194
2014-05-20,1.725
2014-05-21,1.53
2014-05-22,2.141
2014-05-23,0.964
2014-05-24,1.29
2014-05-25,1.91
2014-05-26,1.069
2014-05-27,16.087
2014-05-28,1.36
2014-05-29,1.058
2014-05-30,2.244
2014-05-31,2.332
2014-06-01,1.163
2014-06-02,0.974
2014-06-03,1.103
2014-06-04,1.592
2014-06-05,1.106
2014-06-06,1.662
2014-06-07,1.411
2014-06-08,4.469
2014-06-09,2.351
2014-06-10,1.668
2014-06-11,3.523
2014-06-12,3.146
2014-06-13,2.132
2014-06-14,1.175
2014-06-15,1.077
2014-06-16,1.815
2014-06-17,0.939
2014-06-18,1.42
2014-06-19,1.07
2014-06-20,1.398
2014-06-21,1.507
2014-06-22,1.579
2014-06-23,1.028
2014-06-24,2.647
2014-06-25,1.049
2014-06-26,2.5
2014-06-27,2.774
2014-06-28,1.265
2014-06-29,10.543
2014-06-30,2.33
2014-07-01,1.018
2014-07-02,1.288
2014-07-03,2.113
2014-07-04,2.35
2014-07-05,1.251
2014-07-06,1.586
2014-07-07,1.624
2014-07-08,1.034
2014-07-09,2.813
2014-07-10,3.469
2014-07-11,1.526
2014-07-12,1.908
2014-07-13,1.781
2014-07-14,1.099
2014-07-15,2.084
2014-07-16,1.455
2014-07-17,1.294
2014-07-18,1.195
2014-07-19,0.827
2014-07-20,0.745
2014-07-21,1.276
2014-07-22,1.545
2014-07-23,2.392
2014-07-24,1.949
2014-07-25,1.154
2014-07-26,0.952
2014-07-27,1.242
2014-07-28,1.581
2014-07-29,0.838
2014-07-30,1.05
2014-07-31,1.557
2014-08-01,1.035
2014-08-02,1.784
2014-08-03,0.964
2014-08-04,1.676
2014-08-05,2.329
2014-08-06,1.587
2014-08-07,1.164
2014-08-08,1.384
2014-08-09,1.54
2014-08-10,1.132
2014-08-11,1.503
2014-08-12,1.153
2014-08-13,1.594
2014-08-14,1.111
2014-08-15,1.288
2014-08-16,1.644
2014-08-17,2.625
2014-08-18,1.157
2014-08-19,1.077
2014-08-20,1.552
2014-08-21,0.854
2014-08-22,1.645
2014-08-23,2.348
2014-08-24,0.957
2014-08-25,1.296
2014-08-26,1.354
2014-08-27,0.92
2014-08-28,1.408
2014-08-29,0.8
2014-08-30,1.045
2014-08-31,1.838
2014-09-01,1.823
2014-09-02,0.827
2014-09-03,1.376
2014-09-04,1.626
2014-09-05,2.012
2014-09-06,2.481
2014-09-07,0.656
2014-09-08,1.032
2014-09-09,0.838
2014-09-10,0.999
2014-09-11,1.068
2014-09-12,0.773
2014-09-13,0.99
2014-09-14,1.321
2014-09-15,0.875
2014-09-16,0.938
2014-09-17,1.18
2014-09-18,1.289
2014-09-19,0.932
2014-09-20,0.694
2014-09-21,1.059
2014-09-22,0.713
2014-09-23,0.992
2014-09-24,0.813
2014-09-25,0.916
2014-09-26,0.606
2014-09-27,0.587
2014-09-28,1.719
2014-09-29,0.588
2014-09-30,0.935
2014-10-01,0.58
2014-10-02,0.748
2014-10-03,0.688
2014-10-04,0.902
2014-10-05,1.582
2014-10-06,0.434
2014-10-07,0.613
2014-10-08,0.789
2014-10-09,0.756
2014-10-10,0.769
2014-10-11,0.734
2014-10-12,0.366
2014-10-13,1.242
2014-10-14,0.688
2014-10-15,0.883
2014-10-16,1.053
2014-10-17,0.565
2014-10-18,1.119
2014-10-19,1.196
2014-10-20,0.689
2014-10-21,0.788
2014-10-22,0.833
2014-10-23,0.822
2014-10-24,0.653
2014-10-25,0.969
2014-10-26,0.797
2014-10-27,0.745
2014-10-28,0.969
2014-10-29,0.624
2014-10-30,0.592
2014-10-31,0.947
2014-11-01,1.264
2014-11-02,0.805
2014-11-03,0.561
2014-11-04,0.844
2014-11-05,0.906
2014-11-06,2.676
2014-11-07,0.78
2014-11-08,1.187
2014-11-09,0.582
2014-11-10,0.678
2014-11-11,0.728
2014-11-12,0.667
2014-11-13,0.615
2014-11-14,0.909
2014-11-15,0.804
2014-11-16,1.131
2014-11-17,0.69
2014-11-18,1.046
2014-11-19,0.689
2014-11-20,0.757
2014-11-21,0.667
2014-11-22,0.782
2014-11-23,0.742
2014-11-24,0.816
2014-11-25,0.672
2014-11-26,0.885
2014-11-27,0.787
2014-11-28,0.604
2014-11-29,0.77
2014-11-30,1.084
2014-12-01,0.733
2014-12-02,0.813
2014-12-03,0.943
2014-12-04,0.629
2014-12-05,0.82
2014-12-06,0.638
2014-12-07,0.89
2014-12-08,0.614
2014-12-09,1.447
2014-12-10,0.814
2014-12-11,0.778
2014-12-12,0.577
2014-12-13,0.701
2014-12-14,0.825
2014-12-15,0.494
2014-12-16,0.973
2014-12-17,0.766
2014-12-18,0.73
2014-12-19,0.557
2014-12-20,0.445
2014-12-21,0.514
2014-12-22,0.59
2014-12-23,0.648
2014-12-24,0.515
2014-12-25,0.663
2014-12-26,0.516
2014-12-27,0.606
2014-12-28,0.545
2014-12-29,0.563
2014-12-30,0.655
2014-12-31,0.529
2015-01-01,0.722
2015-01-02,0.676
2015-01-03,0.595
2015-01-04,0.76
2015-01-05,0.478
2015-01-06,1.284
2015-01-07,0.625
2015-01-08,0.761
2015-01-09,0.532
2015-01-10,0.62
2015-01-11,1.023
2015-01-12,0.48
2015-01-13,0.789
2015-01-14,0.592
2015-01-15,0.756
2015-01-16,0.39
2015-01-17,0.355
2015-01-18,0.531
2015-01-19,0.379
2015-01-20,0.465
2015-01-21,0.428
2015-01-22,0.409
2015-01-23,0.43
2015-01-24,0.651
2015-01-25,0.336
2015-01-26,0.441
2015-01-27,0.522
2015-01-28,0.466
2015-01-29,0.581
2015-01-30,0.43
2015-01-31,0.556
2015-02-01,0.502
2015-02-02,0.349
2015-02-03,0.782
2015-02-04,0.635
2015-02-05,0.406
2015-02-06,0.648
2015-02-07,0.56
2015-02-08,0.451
2015-02-09,0.516
2015-02-10,0.498
2015-02-11,0.501
2015-02-12,0.486
2015-02-13,0.483
2015-02-14,0.47
2015-02-15,0.983
2015-02-16,0.434
2015-02-17,0.502
2015-02-18,0.543
2015-02-19,0.439
2015-02-20,5.057
2015-02-21,0.388
2015-02-22,0.404
2015-02-23,0.475
2015-02-24,0.414
2015-02-25,0.431
2015-02-26,0.388
2015-02-27,0.486
2015-02-28,0.59
2015-03-01,1.259
2015-03-02,0.411
2015-03-03,0.455
2015-03-04,1.205
2015-03-05,0.679
2015-03-06,1.249
2015-03-07,0.464
2015-03-08,0.469
2015-03-09,0.536
2015-03-10,1.485
2015-03-11,0.658
2015-03-12,1.169
2015-03-13,0.484
2015-03-14,0.7
2015-03-15,0.609
2015-03-16,0.656
2015-03-17,0.823
2015-03-18,0.64
2015-03-19,0.578
2015-03-20,0.529
2015-03-21,0.898
2015-03-22,0.546
2015-03-23,0.529
2015-03-24,0.512
2015-03-25,0.567
2015-03-26,0.575
2015-03-27,0.581
2015-03-28,0.623
2015-03-29,0.552
2015-03-30,0.559
2015-03-31,0.516
2015-04-01,0.409
2015-04-02,1.057
2015-04-03,0.43
2015-04-04,0.988
2015-04-05,0.589
2015-04-06,0.557
2015-04-07,0.479
2015-04-08,0.801
2015-04-09,0.484
2015-04-10,0.557
2015-04-11,0.548
2015-04-12,0.458
2015-04-13,0.472
2015-04-14,0.538
2015-04-15,0.358
2015-04-16,0.441
2015-04-17,0.459
2015-04-18,0.464
2015-04-19,0.463
2015-04-20,0.571
2015-04-21,0.534
2015-04-22,0.427
2015-04-23,0.923
2015-04-24,0.448
2015-04-25,0.677
2015-04-26,0.451
2015-04-27,0.5
2015-04-28,0.589
2015-04-29,0.612
2015-04-30,0.547
2015-05-01,0.473
2015-05-02,0.443
2015-05-03,0.928
2015-05-04,0.478
2015-05-05,0.468
2015-05-06,0.619
2015-05-07,0.359
2015-05-08,0.54
2015-05-09,0.57
2015-05-10,0.459
2015-05-11,0.455
2015-05-12,0.462
2015-05-13,0.55
2015-05-14,0.503
2015-05-15,0.519
2015-05-16,0.549
2015-05-17,0.569
2015-05-18,0.45
2015-05-19,0.658
2015-05-20,0.536
2015-05-21,0.452
2015-05-22,0.648
2015-05-23,0.392
2015-05-24,0.601
2015-05-25,0.452
2015-05-26,0.55
2015-05-27,0.582
2015-05-28,0.55
2015-05-29,0.734
2015-05-30,0.421
2015-05-31,0.457
2015-06-01,0.53
2015-06-02,0.443
2015-06-03,0.454
2015-06-04,0.509
2015-06-05,0.517
2015-06-06,0.487
2015-06-07,0.364
2015-06-08,0.569
2015-06-09,0.508
2015-06-10,0.495
2015-06-11,0.429
2015-06-12,0.905
2015-06-13,0.43
2015-06-14,0.551
2015-06-15,0.541
2015-06-16,0.708
2015-06-17,0.617
2015-06-18,0.616
2015-06-19,0.597
2015-06-20,1.02
2015-06-21,1.263
2015-06-22,0.586
2015-06-23,0.715
2015-06-24,0.398
2015-06-25,0.46
2015-06-26,0.668
2015-06-27,0.86
2015-06-28,0.705
2015-06-29,0.701
2015-06-30,0.809
2015-07-01,0.758
2015-07-02,0.607
2015-07-03,0.42
2015-07-04,0.74
2015-07-05,0.495
2015-07-06,0.763
2015-07-07,1.233
2015-07-08,0.854
2015-07-09,0.429
2015-07-10,0.664
2015-07-11,0.711
2015-07-12,1.095
2015-07-13,0.704
2015-07-14,0.631
2015-07-15,0.621
2015-07-16,0.635
2015-07-17,1.01
2015-07-18,0.609
2015-07-19,0.787
2015-07-20,0.511
2015-07-21,0.616
2015-07-22,0.622
2015-07-23,0.838
2015-07-24,0.652
2015-07-25,1.018
2015-07-26,0.834
2015-07-27,0.643
2015-07-28,0.679
2015-07-29,0.534
2015-07-30,0.608
2015-07-31,1.415
2015-08-01,0.863
2015-08-02,1.053
2015-08-03,0.966
2015-08-04,0.478
2015-08-05,0.804
2015-08-06,0.755
2015-08-07,0.749
2015-08-08,0.652
2015-08-09,0.647
2015-08-10,0.699
2015-08-11,0.877
2015-08-12,0.865
2015-08-13,0.858
2015-08-14,0.645
2015-08-15,0.631
2015-08-16,0.482
2015-08-17,0.606
2015-08-18,0.756
2015-08-19,0.711
2015-08-20,0.526
2015-08-21,0.413
2015-08-22,0.706
2015-08-23,1.181
2015-08-24,0.645
2015-08-25,0.343
2015-08-26,0.601
2015-08-27,0.85
2015-08-28,0.738
2015-08-29,0.631
2015-08-30,0.833
2015-08-31,0.569
2015-09-01,0.699
2015-09-02,0.606
2015-09-03,0.607
2015-09-04,0.525
2015-09-05,0.587
2015-09-06,0.675
2015-09-07,0.528
2015-09-08,0.551
2015-09-09,0.857
2015-09-10,0.541
2015-09-11,0.548
2015-09-12,0.703
2015-09-13,0.654
2015-09-14,0.531
2015-09-15,0.629
2015-09-16,0.773
2015-09-17,0.704
2015-09-18,0.687
2015-09-19,0.593
2015-09-20,0.507
2015-09-21,1.494
2015-09-22,0.798
2015-09-23,0.599
2015-09-24,0.719
2015-09-25,0.527
2015-09-26,0.609
2015-09-27,0.692
2015-09-28,0.566
2015-09-29,0.669
2015-09-30,0.787
2015-10-01,0.69
2015-10-02,0.696
2015-10-03,0.891
2015-10-04,0.589
2015-10-05,0.681
2015-10-06,0.57
2015-10-07,0.807
2015-10-08,0.536
2015-10-09,0.739
2015-10-10,0.588
2015-10-11,0.54
2015-10-12,0.337
2015-10-13,0.779
2015-10-14,0.336
2015-10-15,0.686
2015-10-16,0.732
2015-10-17,0.686
2015-10-18,0.875
2015-10-19,0.589
2015-10-20,0.939
2015-10-21,0.846
2015-10-22,0.655
2015-10-23,0.707
2015-10-24,0.802
2015-10-25,0.952
2015-10-26,0.761
2015-10-27,0.945
2015-10-28,0.977
2015-10-29,1.086
2015-10-30,1.152
2015-10-31,1.712
2015-11-01,1.935
2015-11-02,0.879
2015-11-03,0.81
2015-11-04,1.183
2015-11-05,1.479
2015-11-06,1.143
2015-11-07,1.525
2015-11-08,0.906
2015-11-09,1.236
2015-11-10,0.784
2015-11-11,1.021
2015-11-12,0.964
2015-11-13,1.504
2015-11-14,1.114
2015-11-15,1.006
2015-11-16,1.164
2015-11-17,1.068
2015-11-18,0.814
2015-11-19,0.967
2015-11-20,0.995
2015-11-21,1.052
2015-11-22,1.843
2015-11-23,0.803
2015-11-24,1.038
2015-11-25,1.144
2015-11-26,1.026
2015-11-27,0.858
2015-11-28,1.181
2015-11-29,0.873
2015-11-30,0.712
2015-12-01,1.121
2015-12-02,0.886
2015-12-03,0.935
2015-12-04,1.315
2015-12-05,0.643
2015-12-06,1.266
2015-12-07,1.072
2015-12-08,1.113
2015-12-09,1.502
2015-12-10,1.379
2015-12-11,1.035
2015-12-12,1.183
2015-12-13,1.176
2015-12-14,2.015
2015-12-15,1.325
2015-12-16,1.372
2015-12-17,1.095
2015-12-18,1.559
2015-12-19,1.464
2015-12-20,1.284
2015-12-21,1.118
2015-12-22,1.612
2015-12-23,1.229
2015-12-24,1.344
2015-12-25,1.546
2015-12-26,1.183
2015-12-27,0.829
2015-12-28,1.189
2015-12-29,1.208
2015-12-30,1.102
2015-12-31,1.052
2016-01-01,1.29
2016-01-02,1.17
2016-01-03,0.791
2016-01-04,1.111
2016-01-05,1.081
2016-01-06,1.229
2016-01-07,3.812
2016-01-08,1.236
2016-01-09,0.995
2016-01-10,1.964
2016-01-11,1.288
2016-01-12,1.222
2016-01-13,1.036
2016-01-14,1.304
2016-01-15,1.163
2016-01-16,1.265
2016-01-17,1.208
2016-01-18,1.214
2016-01-19,1.357
2016-01-20,1.065
2016-01-21,1.421
2016-01-22,0.612
2016-01-23,0.976
2016-01-24,1.173
2016-01-25,1.247
2016-01-26,1.081
2016-01-27,1.227
2016-01-28,1.042
2016-01-29,1.205
2016-01-30,1.356
2016-01-31,1.538
2016-02-01,0.483
2016-02-02,1.157
2016-02-03,0.837
2016-02-04,1.041
2016-02-05,0.961
2016-02-06,1.04
2016-02-07,1.282
2016-02-08,0.995
2016-02-09,0.663
2016-02-10,1.239
2016-02-11,1.503
2016-02-12,1.043
2016-02-13,1.136
2016-02-14,1.151
2016-02-15,0.924
2016-02-16,1.183
2016-02-17,1.553
2016-02-18,1.081
2016-02-19,1.508
2016-02-20,1.255
2016-02-21,0.846
2016-02-22,1.225
2016-02-23,1.499
2016-02-24,1.677
2016-02-25,1.021
2016-02-26,1.569
2016-02-27,0.983
2016-02-28,1.761
2016-02-29,1.807
2016-03-01,1.275
2016-03-02,1.935
2016-03-03,1.074
2016-03-04,1.19
2016-03-05,1.76
2016-03-06,1.307
2016-03-07,1.504
2016-03-08,1.063
2016-03-09,0.77
2016-03-10,1.083
2016-03-11,1.079
2016-03-12,1.543
2016-03-13,1.228
2016-03-14,1.496
2016-03-15,1.238
2016-03-16,1.286
2016-03-17,1.287
2016-03-18,1.603
2016-03-19,0.806
2016-03-20,0.68
2016-03-21,1.403
2016-03-22,2.009
2016-03-23,1.337
2016-03-24,1.579
2016-03-25,1.529
2016-03-26,1.694
2016-03-27,1.33
2016-03-28,1.395
2016-03-29,1.522
2016-03-30,1.314
2016-03-31,1.221
2016-04-01,1.824
2016-04-02,1.752
2016-04-03,1.449
2016-04-04,1.506
2016-04-05,1.742
2016-04-06,1.516
2016-04-07,1.717
2016-04-08,0.969
2016-04-09,1.137
2016-04-10,1.612
2016-04-11,1.424
2016-04-12,1.416
2016-04-13,1.031
2016-04-14,1.064
2016-04-15,1.016
2016-04-16,1.053
2016-04-17,0.962
2016-04-18,1.129
2016-04-19,1.28
2016-04-20,1.158
2016-04-21,1.352
2016-04-22,1.807
2016-04-23,1.509
2016-04-24,1.639
2016-04-25,1.331
2016-04-26,1.389
2016-04-27,1.616
2016-04-28,1.535
2016-04-29,1.215
2016-04-30,1.45
2016-05-01,1.897
2016-05-02,1.549
2016-05-03,1.439
2016-05-04,1.181
2016-05-05,1.402
2016-05-06,1.626
2016-05-07,0.719
2016-05-08,1.495
2016-05-09,1.487
2016-05-10,2.145
2016-05-11,1.352
2016-05-12,1.384
2016-05-13,1.181
2016-05-14,1.996
2016-05-15,1.398
2016-05-16,0.915
2016-05-17,1.595
2016-05-18,1.079
2016-05-19,1.628
2016-05-20,1.475
2016-05-21,1.257
2016-05-22,1.525
2016-05-23,1.471
2016-05-24,1.091
2016-05-25,1.323
2016-05-26,1.227
2016-05-27,1.715
2016-05-28,1.195
2016-05-29,1.461
2016-05-30,1.538
2016-05-31,1.641
2016-06-01,1.215
2016-06-02,2.69
2016-06-03,1.283
2016-06-04,1.488
2016-06-05,1.734
2016-06-06,1.332
2016-06-07,1.392
2016-06-08,1.601
2016-06-09,1.607
2016-06-10,1.783
2016-06-11,1.782
2016-06-12,1.522
2016-06-13,1.639
2016-06-14,1.27
2016-06-15,1.954
2016-06-16,1.592
2016-06-17,1.815
2016-06-18,1.92
2016-06-19,1.881
2016-06-20,1.86
2016-06-21,1.901
2016-06-22,1.7
2016-06-23,1.986
2016-06-24,1.665
2016-06-25,1.351
2016-06-26,2.206
2016-06-27,2.394
2016-06-28,1.717
2016-06-29,1.598
2016-06-30,1.663
2016-07-01,1.656
2016-07-02,2.237
2016-07-03,1.915
2016-07-04,1.7
2016-07-05,2.199
2016-07-06,1.997
2016-07-07,1.615
2016-07-08,1.707
2016-07-09,1.793
2016-07-10,3.156
2016-07-11,3.21
2016-07-12,2.075
2016-07-13,1.716
2016-07-14,1.751
2016-07-15,1.733
2016-07-16,1.961
2016-07-17,2.173
2016-07-18,1.736
2016-07-19,1.43
2016-07-20,1.526
2016-07-21,1.706
2016-07-22,1.655
2016-07-23,1.282
2016-07-24,2.495
2016-07-25,1.657
2016-07-26,1.889
2016-07-27,1.917
2016-07-28,2.123
2016-07-29,2.431
2016-07-30,2.248
2016-07-31,1.984
2016-08-01,1.565
2016-08-02,1.701
2016-08-03,1.56
2016-08-04,1.385
2016-08-05,1.605
2016-08-06,1.584
2016-08-07,1.516
2016-08-08,1.497
2016-08-09,1.572
2016-08-10,1.686
2016-08-11,1.732
2016-08-12,1.458
2016-08-13,1.59
2016-08-14,1.404
2016-08-15,1.414
2016-08-16,1.46
2016-08-17,1.609
2016-08-18,2.293
2016-08-19,1.588
2016-08-20,1.834
2016-08-21,1.63
2016-08-22,1.44
2016-08-23,1.508
2016-08-24,1.511
2016-08-25,2.517
2016-08-26,1.725
2016-08-27,1.436
2016-08-28,1.546
2016-08-29,1.126
2016-08-30,1.414
2016-08-31,1.537
2016-09-01,1.859
2016-09-02,1.638
2016-09-03,1.475
2016-09-04,1.399
2016-09-05,1.494
2016-09-06,1.58
2016-09-07,1.472
2016-09-08,1.896
2016-09-09,1.586
2016-09-10,2.09
2016-09-11,2.063
2016-09-12,1.573
2016-09-13,1.967
2016-09-14,1.619
2016-09-15,1.668
2016-09-16,1.854
2016-09-17,1.49
2016-09-18,1.85
2016-09-19,1.674
2016-09-20,2.25
2016-09-21,1.488
2016-09-22,1.556
2016-09-23,1.527
2016-09-24,0.616
2016-09-25,2.306
2016-09-26,1.854
2016-09-27,1.75
2016-09-28,1.482
2016-09-29,1.604
2016-09-30,1.627
2016-10-01,1.604
2016-10-02,1.768
2016-10-03,1.692
2016-10-04,2.487
2016-10-05,1.482
2016-10-06,1.757
2016-10-07,1.602
2016-10-08,1.732
2016-10-09,1.534
2016-10-10,1.594
2016-10-11,1.507
2016-10-12,1.77
2016-10-13,1.608
2016-10-14,1.577
2016-10-15,1.511
2016-10-16,1.85
2016-10-17,1.967
2016-10-18,1.706
2016-10-19,1.785
2016-10-20,1.604
2016-10-21,1.971
2016-10-22,1.872
2016-10-23,1.677
2016-10-24,1.23
2016-10-25,1.61
2016-10-26,1.776
2016-10-27,1.802
2016-10-28,1.783
2016-10-29,1.684
2016-10-30,1.394
2016-10-31,1.703
2016-11-01,2.047
2016-11-02,1.763
2016-11-03,1.725
2016-11-04,1.968
2016-11-05,1.871
2016-11-06,2.109
2016-11-07,1.887
2016-11-08,2.294
2016-11-09,1.681
2016-11-10,2.951
2016-11-11,2.155
2016-11-12,1.655
2016-11-13,1.824
2016-11-14,1.899
2016-11-15,1.528
2016-11-16,2.08
2016-11-17,1.392
2016-11-18,2.216
2016-11-19,1.951
2016-11-20,1.841
2016-11-21,1.807
2016-11-22,1.165
2016-11-23,1.991
2016-11-24,2.697
2016-11-25,1.89
2016-11-26,1.723
2016-11-27,1.922
2016-11-28,1.738
2016-11-29,1.824
2016-11-30,1.548
2016-12-01,1.691
2016-12-02,1.514
2016-12-03,2.021
2016-12-04,1.676
2016-12-05,2.195
2016-12-06,1.654
2016-12-07,1.811
2016-12-08,2.098
2016-12-09,1.777
2016-12-10,1.895
2016-12-11,1.708
2016-12-12,1.684
2016-12-13,2.332
2016-12-14,1.802
2016-12-15,1.943
2016-12-16,1.439
2016-12-17,1.566
2016-12-18,2.326
2016-12-19,1.634
2016-12-20,2.181
2016-12-21,2.717
2016-12-22,2.109
2016-12-23,2.069
2016-12-24,1.933
2016-12-25,1.849
2016-12-26,1.615
2016-12-27,2.111
2016-12-28,3.028
2016-12-29,2.509
2016-12-30,2.669
2016-12-31,2.159
2017-01-01,2.063
2017-01-02,2.461
2017-01-03,2.541
2017-01-04,1.902
2017-01-05,2.26
2017-01-06,2.118
2017-01-07,2.219
2017-01-08,1.675
2017-01-09,1.741
2017-01-10,1.895
2017-01-11,1.63
2017-01-12,1.853
2017-01-13,1.383
2017-01-14,1.865
2017-01-15,1.72
2017-01-16,1.908
2017-01-17,1.626
2017-01-18,2.029
2017-01-19,1.913
2017-01-20,1.526
2017-01-21,2.221
2017-01-22,2.357
2017-01-23,2.264
2017-01-24,1.704
2017-01-25,1.81
2017-01-26,1.72
2017-01-27,3.084
2017-01-28,2.415
2017-01-29,2.844
2017-01-30,2.095
2017-01-31,1.868
2017-02-01,2.124
2017-02-02,2.14
2017-02-03,1.811
2017-02-04,2.427
2017-02-05,2.221
2017-02-06,1.968
2017-02-07,1.927
2017-02-08,2.138
2017-02-09,2.196
2017-02-10,2.256
2017-02-11,2.393
2017-02-12,2.296
2017-02-13,2.241
2017-02-14,2.307
2017-02-15,2.09
2017-02-16,2.029
2017-02-17,2.781
2017-02-18,2.775
2017-02-19,2.9
2017-02-20,2.68
2017-02-21,2.781
2017-02-22,2.572
2017-02-23,2.155
2017-02-24,4.488
2017-02-25,2.58
2017-02-26,2.239
2017-02-27,2.493
2017-02-28,2.672
2017-03-01,2.77
2017-03-02,2.77
2017-03-03,2.541
2017-03-04,2.686
2017-03-05,2.934
2017-03-06,2.41
2017-03-07,2.568
2017-03-08,2.716
2017-03-09,2.4
2017-03-10,2.256
2017-03-11,3.079
2017-03-12,2.585
2017-03-13,2.731
2017-03-14,2.672
2017-03-15,2.465
2017-03-16,2.771
2017-03-17,2.995
2017-03-18,2.126
2017-03-19,2.442
2017-03-20,2.273
2017-03-21,2.337
2017-03-22,2.449
2017-03-23,1.85
2017-03-24,1.563
2017-03-25,1.506
2017-03-26,2.684
2017-03-27,2.527
2017-03-28,2.246
2017-03-29,2.338
2017-03-30,2.207
2017-03-31,2.9
2017-04-01,3.632
2017-04-02,3.585
2017-04-03,2.785
2017-04-04,2.534
2017-04-05,2.596
2017-04-06,2.445
2017-04-07,4.195
2017-04-08,4.013
2017-04-09,2.323
2017-04-10,2.6
2017-04-11,2.532
2017-04-12,4.923
2017-04-13,2.377
2017-04-14,1.557
2017-04-15,2.919
2017-04-16,2.98
2017-04-17,2.193
2017-04-18,2.508
2017-04-19,3.062
2017-04-20,2.404
2017-04-21,2.835
2017-04-22,2.532
2017-04-23,2.621
2017-04-24,2.851
2017-04-25,2.703
2017-04-26,2.56
2017-04-27,2.355
2017-04-28,2.684
2017-04-29,3.352
2017-04-30,3.804
2017-05-01,4.037
2017-05-02,3.238
2017-05-03,2.913
2017-05-04,2.746
2017-05-05,3.202
2017-05-06,3.586
2017-05-07,3.209
2017-05-08,3.433
2017-05-09,3.142
2017-05-10,3.499
2017-05-11,5.993
2017-05-12,3.625
2017-05-13,3.627
2017-05-14,3.184
2017-05-15,3.478
2017-05-16,4.053
2017-05-17,3.352
2017-05-18,3.611
2017-05-19,3.382
2017-05-20,4.707
2017-05-21,3.759
2017-05-22,3.955
2017-05-23,4.596
2017-05-24,4.822
2017-05-25,4.336
2017-05-26,5.387
2017-05-27,4.75
2017-05-28,2.712
2017-05-29,4.068
2017-05-30,4.574
2017-05-31,6.725
2017-06-01,5.097
2017-06-02,4.76
2017-06-03,4.471
2017-06-04,4.684
2017-06-05,4.703
2017-06-06,5.397
2017-06-07,5.472
2017-06-08,4.592
2017-06-09,5.024
2017-06-10,9.978
2017-06-11,5.79
2017-06-12,10.455
2017-06-13,12.163
2017-06-14,5.116
2017-06-15,6.114
2017-06-16,7.237
2017-06-17,4.687
2017-06-18,4.927
2017-06-19,5.347
2017-06-20,5.089
2017-06-21,4.37
2017-06-22,5.538
2017-06-23,4.119
2017-06-24,4.258
2017-06-25,4.365
2017-06-26,4.226
2017-06-27,3.867
2017-06-28,4.478
2017-06-29,4.485
2017-06-30,4.603
2017-07-01,4.288
2017-07-02,4.868
2017-07-03,5.184
2017-07-04,5.663
2017-07-05,5.25
2017-07-06,4.938
2017-07-07,4.323
2017-07-08,4.24
2017-07-09,6.36
2017-07-10,3.985
2017-07-11,4.072
2017-07-12,3.47
2017-07-13,4.323
2017-07-14,3.844
2017-07-15,4.495
2017-07-16,3.29
2017-07-17,5.716
2017-07-18,3.586
2017-07-19,3.7
2017-07-20,4.186
2017-07-21,5.05
2017-07-22,4.532
2017-07-23,5.311
2017-07-24,5.967
2017-07-25,4.121
2017-07-26,4.384
2017-07-27,4.154
2017-07-28,6.033
2017-07-29,4.34
2017-07-30,4.072
2017-07-31,4.267
2017-08-01,4.275
2017-08-02,4.981
2017-08-03,6.154
2017-08-04,6.93
2017-08-05,5.035
2017-08-06,5.959
2017-08-07,4.887
2017-08-08,5.088
2017-08-09,5.225
2017-08-10,5.442
2017-08-11,5.707
2017-08-12,6.639
2017-08-13,7.267
2017-08-14,6.271
2017-08-15,7.332
2017-08-16,7.177
2017-08-17,6.039
2017-08-18,8.408
2017-08-19,8.704
2017-08-20,7.848
2017-08-21,5.921
2017-08-22,6.261
2017-08-23,10.676
2017-08-24,7.322
2017-08-25,7.57
2017-08-26,9.339
2017-08-27,7.018
2017-08-28,6.211
2017-08-29,6.909
2017-08-30,6.547
2017-08-31,7.0
2017-09-01,5.837
2017-09-02,6.626
2017-09-03,8.679
2017-09-04,7.217
2017-09-05,6.808
2017-09-06,7.853
2017-09-07,6.619
2017-09-08,6.81
2017-09-09,7.109
2017-09-10,4.575
2017-09-11,7.656
2017-09-12,5.357
2017-09-13,6.006
2017-09-14,5.983
2017-09-15,4.032
2017-09-16,5.665
2017-09-17,6.214
2017-09-18,5.115
2017-09-19,5.421
2017-09-20,6.889
2017-09-21,5.873
2017-09-22,8.241
2017-09-23,4.495
